0material_id,material_name,category,route,recycling_rate,energy_MJ_per_kg,carbon_kgCO2_per_kg,scrap_recovery_rate,mci,transport_km,renewable_share
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,213.77,11.98,0.72,0.09,469,0.56
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,192.38,10.75,0.7,0.08,581,0.32
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,188.51,10.82,0.78,0.11,206,0.32
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,211.79,12.33,0.79,0.04,300,0.3
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,216.36,12.13,0.73,0.08,923,0.15
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,198.42,10.62,0.74,0.08,945,0.39
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,210.19,11.2,0.78,0.11,471,0.33
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,218.66,12.27,0.79,0.06,528,0.53
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,215.31,12.41,0.76,0.11,744,0.46
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,185.75,11.08,0.75,0.09,578,0.6
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,213.27,11.18,0.79,0.12,280,0.43
al_6061_primary,Aluminium 6061,Aluminium,primary,0.05,204.7,10.95,0.75,0.04,443,0.3
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,197.83,10.82,0.71,0.03,869,0.29
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,183.12,9.43,0.72,0.1,896,0.26
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,219.59,12.5,0.78,0.05,807,0.55
al_6061_primary,Aluminium 6061,Aluminium,primary,0.09,198.53,10.7,0.77,0.07,439,0.35
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,183.13,10.56,0.74,0.05,556,0.45
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,184.29,9.68,0.74,0.08,768,0.35
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,185.6,10.06,0.79,0.08,256,0.28
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,184.06,10.98,0.74,0.08,804,0.22
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,217.34,11.24,0.72,0.08,665,0.41
al_6061_primary,Aluminium 6061,Aluminium,primary,0.13,204.68,11.94,0.72,0.09,510,0.16
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,201.1,10.74,0.72,0.09,466,0.49
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,218.84,12.83,0.77,0.03,283,0.39
al_6061_primary,Aluminium 6061,Aluminium,primary,0.08,208.19,11.87,0.72,0.06,918,0.44
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,188.12,11.08,0.8,0.12,922,0.23
al_6061_primary,Aluminium 6061,Aluminium,primary,0.04,219.9,11.43,0.73,0.03,461,0.2
al_6061_primary,Aluminium 6061,Aluminium,primary,0.14,189.11,11.14,0.74,0.11,257,0.5
al_6061_primary,Aluminium 6061,Aluminium,primary,0.12,194.02,10.07,0.77,0.09,934,0.18
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,204.98,11.6,0.78,0.08,716,0.39
al_6061_primary,Aluminium 6061,Aluminium,primary,0.06,182.06,9.44,0.74,0.04,695,0.35
al_6061_primary,Aluminium 6061,Aluminium,primary,0.03,192.74,9.79,0.74,0.03,633,0.57
al_6061_primary,Aluminium 6061,Aluminium,primary,0.11,194.04,10.51,0.76,0.08,246,0.27
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,217.48,12.94,0.71,0.07,662,0.32
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,186.36,9.63,0.75,0.07,492,0.55
al_6061_primary,Aluminium 6061,Aluminium,primary,0.1,190.98,11.19,0.77,0.08,868,0.6
al_6061_primary,Aluminium 6061,Aluminium,primary,0.07,210.53,11.93,0.73,0.05,926,0.44
al_6061_primary,Aluminium 6061,Aluminium,primary,0.15,193.16,11.48,0.71,0.1,299,0.57
